Which type of organization do you work for?
Private
Private
Business
NGO
Student
Private
Private
Private
Private
Private
Private
Business
Private
Private
Government
Private
Business
Government
I don't work
Unemployed 
Private
Business
retired
Private
Private
Private
Private
Government
Private
Private
High school graduate
Not working  studying
House Wife 
Private
Student
Student
Business
Private
Student
Private
Private
Studying
Private
I am still studying 
Business
Private
Private
Government
Business
Private
Private
Private
N/a
Business
Private
Private
Government
Private
Private
Government
notbworking 
Private
Private
Government
Doesnt work
Private
not yet  working 
Private
Student
Private
Private
I'm a student
Private
Private
Private
Student 
Private
Private
Private
Private
Government
Business
Business
Government
Business
Government
Private
Private
Student
Government
Student
Private
Unemployed 
Private
Business
Government
Business
Private
Government
Government
Government
Private
Student
Government
Government
Government
Government
student.
Business
Government
Business
Government
Business
Government
Private
Government
Government
Government
Government
Private
Private
Private
Government
Private
House wife
Private
student
Private
Business
Private
Business
Student
MNC
Private
student
Private
Government
Government
Studying 
Business
Student
Business
Private
Private
Private
Private
Government
Private
Labour
self 
nothing
Private
Private
Private
Private
Private
Private
Private
Private
Private
Private
Government
Business
Business
Private
Government
Private
School
Private
Government
Student
Government
Private
Private
Business
Student 
Private
House wife
Government
House wife
Business
Private
Private
None
House Wife
Student
Government
Private
Business
Other
Government
Government
Student
Private
Student
Government
Student
Private
Private
searching for jobs
I'm a student 
Business
Student
Private
Study
Private
Private
Business
Student
Private
Government
Private
Private
Business
Private
Business
Private
Private
Private
Private
Private
Private
Private
Private
Private
Private
Government
Government
Private
Student
Private
I'm a student right now
Private
Private
Private
Business
Business
student
Private
Private
Business
Government
Private
Private
Vella
Private
Private
Private
Private
Private
Private
Private
Business
Government
Private
Government
Student
Government
Business
Government
Government
Private
Private
Private
Private
Private
Business
Government
Business
Business
Business
Private
Government
Government
Business
Private
Private
Private
Student
Private
Business
Business
Private
Housewife
Government
Government
Government
Student 
Housewife
Government
Government
Government
Government
Private
Business
Private
Private
Business
Business
Private
Business
Business
Student 
Student 
Student
Private
Business
Private
Business
Student
Business
 doesn't work
Dancing 
Housewife
Private
Private
Private
Private
Private
Doesnt work
Business
Private
Private
Private
Government
Housewife
Not working
Private
Private
Private
Student
Private
Private
Private
Private
student
Student
Private
Private
Private
Private
Business
Government
Private
Private
Private
doesnt work
Business
Private
Business
Student
Private
Business
Howkar
Student
Business
Private
Private
Private
Private
Private
Government
Student
Government
Government
Student
Student
Business
Private
Student
Business
Private
Student
Private
Private
Private
Student
Business
Private
Government
Do not work
Government
Student
Government
Private
Private
Private
Private
Government
Government
No working 
StudyiNg
educational
Private
Business
Business
None
Private
Private
Private
Government
Private
Business
Not working yet
Private
Study
Student
Private
Private
Student
Private
Private
Private
Private
Private
Study
Private
Private
Private
Business
Student
Private
Student
Housewife 
Business
Private
Government
Government
Government
Private
Private
Private
Government
Private
Private
Private
Government
Government
Private
Government
Business
Business
Business
Private
Private
Private
Government
Business
Student
Private
Government
Business
Business
Business
Private
Business
Private
Private
Government
Studying
Private
Business
Private
I'm a student
Business
Government
Private
Business
I'm a student 
Private
Student
Business
Private
Private
Private
Private
Government
Government
Private
Government
Business
Government
Business
Private
Business
Private
Private
Student
Private
Government
Student
Student 
Private
Business
Private
Private
Private
Government
Student
Government
Self employed
Private
Student
Private
Private
Private
Government
Government
I am a student.
Private
Private
Private
Private
Private
Government
Private
I am a student 
Business
Business
Business
Private
I m a student
Not yet
Private
Private
College
Student
Student
Studey
Private
Private
Private
Private
Student
Private
Private
Business
Government
Private
Private
Government
Government
Private
Business
Government
Student
Studying 
Private
Government
jobless
Private
Student
Private
Private
Private
Private
Business
Private
Private

Government
pen store
Business
Private
Private
Private
Business
Business
Private
Private
Government
Private
Private
Private
Private
Student
Student
Student
College
Private
Private
College
Student
Business
Business
Private
Private
Private
Business
Private
Private
Job
Business
Private
Private
In college
Student
Student
Student 
Private
Private
Private
Private
Business
Government
Private
Private
Student
Student
Student
Business
Private
Government
Private
Business
Student 
Business
Private
Private
Private
I am a student 
Private
Government
Student
Student
Student
Private
Private
Private
Private
Private
Government
Nil
Private
Business
Private
Business
Private
Students
Private
Private
Private
Student 
Business
Private
In college 
Private
Business
House wife
Private
Private
College
Private
Private
Business
Government
Private
Private
Business
Business
Government
Business
Government
Government
Private
I'm a student
Private
Private
College student 
Private
Government
Private
Private
Private
Private
Housewife
Student
Private
Student
Private
Private
Studying 
Business
Private
Government
Private
Business
Private
Student
Private
Private
Private
Private
College
Studying in college
Private
Private
Private
Private
Business
Private
Government
Private
College
Private
Business
.
Business
Private
Private
Private
Student 
Non working
Private
Private
Shop 
study
Private
Government
Business
Private
Business
Government
I don't work
Private
Private
Private
Student
Education
Student
Not working
Private
Private
Private
Student
Business
Student 
Student 
Private
Business
Student
Private
I am pursuing my graduation 
Business
Business
College
Student
Private
Government
Private
Student
housewife
Government
Private
Private
Business
Private
Government
Private
Private
Government
Private
Business
Private
Private
Government
Business
Private
Student
STUDENT
Student
Private
Government
Government
Government
Student
Student
Business
Business
Government
Student
Private
Private
Private
Private
Business
Private
Private
I don't work.
Student
Private
Student
Private
Private
Studying PGPM
Private
Private
Government
Government
Private
Private
Private
Private
Private
Private
Private
Business
Private
Private
Studying
Private
Private
Business
None
Private
Private
Private
Business
Student
Coaching institute
Student
Private
Studying
Business
University
Private
Private
Government
Student
Private
Jobless
Student
Student
Private
Private
Private
Government
Private
Business
Student
Student
Student
Student
Government
Private
Private
Studying in an educational institution
Not employed (pursuing MBA)
College
Student
NA
Business
Private
Private
Student
Private
Business
Government
Private
Private
Student
Professional
Student
Private
Government
Government
Private
Government
NA
Private
Government
Not Working
Business
Business
Private
Private
Student
Student
Infosys
Padhaku h 
Private
Private
Government
Government
Private
Private
Private
Private
Private
Business
I'm currently pursuing MBA
Private
Government
Student
Student
Student
Student
Student 
Private
Coaching class
Private
Private
No
Private
Government
Private
Student
Private
Student 
Business
Private
Business
Student 
Private
Business
Private
Private
Government
Private
Private
Student
Business
Government
Private
Private
Business
Private
IIM Kashipur 
Private
Private
Private
College
Private
Private
Private
Business
Private
Student
Private
Business
Private
Private
Private
Private
Private
Private
Private
Private
Private
Student
Government
Private
Business
Business
I am a student
Government
Business
student
Government
Private
Student
Private
Private
Government
Private
NA
Student
Still studying
Private
Private
Private
Student
Private
Private
Student
Student
Government
Student
Business
Private
Private
Private
Private
Business
Student
Student
Government
Government
Private
Film Industry
Government
Unemployed
Student
Private
Private
Private
teaching
Student
Not working now
I am a student at IIM KASHIPUR
Government
I am a Student
Student
Business
Private
Student 
Student
Studying in IIM KASHIPUR 
Student
Student
Private
Private
Business
Private
Government
Student
Private
Private
Private
Private
Government
Private
Government
Government
Student
Government
Studying
Private
Government
Private
I'm a student
Student at IIM Kashipur
Government
STUDENT
Student 
Private
Business
Government
Private
Student
Housewife
Government
Private
Private
Private
Private
Business
Housewife 
Currently not working 
Government
Student 
Government
Private
Studying 
Retired 
Government
Student
Student
Private
Private
Government
Private
Government
Government
Private
Government
Government
BBC
