What maximum investment would you be willing to make in solar?
50000- 1 Lac
Less than 50000
50000- 1 Lac
1 Lac - 2 Lacs
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
1 Lac - 2 Lacs
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
50000- 1 Lac
50000- 1 Lac
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
1 Lac - 2 Lacs
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
1 Lac - 2 Lacs
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
2 Lacs +
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
1 Lac - 2 Lacs
Less than 50000
Less than 50000
Less than 50000
2 Lacs +
50000- 1 Lac
1 Lac - 2 Lacs
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
50000- 1 Lac
Less than 50000
Less than 50000
Less than 50000
Less than 50000
