Age,Monthy Earnings,Gender,Home Loan ,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
2,0,1,No,5,>50%,1,3,1,0,3,2,3,5
0,1,1,No,3,31% - 40%,2,4,1,1,1,0,0,5
0,1,1,No,4,41% - 50%,2,2,1,1,1,1,0,Bgp
0,0,1,No,4,>50%,2,4,1,0,2,0,2,36
0,1,1,No,1,31% - 40%,2,4,1,0,1,1,0,17
1,3,2,No,5,41% - 50%,2,1,0,1,3,1,3,5
0,3,1,No,5,41% - 50%,2,4,1,2,2,2,2,22
0,1,1,No,2,41% - 50%,2,4,0,0,2,0,2,41
0,0,2,No,1,31% - 40%,2,3,1,0,0,1,2,5
0,1,2,No,3,21% - 30%,2,3,0,0,0,3,0,5
0,1,1,No,3,10% - 20%,2,3,1,0,1,1,0,21
0,0,1,No,4,31% - 40%,2,2,1,1,2,1,3,5
0,0,2,No,5,>50%,2,3,1,0,3,2,3,5
0,1,1,No,4,21% - 30%,2,3,0,0,0,1,3,38
0,0,1,No,5,>50%,2,4,0,0,2,2,3,16
0,1,1,No,1,10% - 20%,2,3,0,0,1,1,2,22
0,1,1,Yes,5,31% - 40%,2,3,0,0,2,1,0,10
1,3,2,No,5,>50%,2,1,0,0,1,1,0,Anoopshahr
1,1,1,No,5,31% - 40%,2,3,0,0,3,1,0,39
0,1,2,No,5,21% - 30%,2,4,1,0,1,1,0,17
1,3,2,No,3,31% - 40%,2,4,0,2,1,1,3,5
1,1,1,No,1,41% - 50%,2,4,0,0,2,1,2,5
0,0,2,No,1,10% - 20%,2,3,1,0,0,1,3,5
0,0,1,No,3,21% - 30%,2,4,0,0,2,1,3,19
0,0,1,No,4,21% - 30%,2,2,1,1,2,1,2,38
0,0,1,No,5,>50%,2,3,0,0,2,3,0,Haldor
0,0,1,No,1,41% - 50%,2,4,0,3,2,3,0,19
0,3,2,No,2,41% - 50%,2,2,0,0,0,1,2,19
0,0,2,Yes,3,10% - 20%,2,1,0,0,0,0,3,19
0,2,2,No,3,21% - 30%,2,2,0,0,1,1,0,Noorpur
0,2,2,No,5,21% - 30%,2,2,0,0,1,0,2,22
1,3,1,No,3,10% - 20%,2,1,1,0,3,1,0,36
1,1,2,No,1,21% - 30%,2,2,0,0,0,1,3,36
0,1,2,No,3,41% - 50%,2,3,1,0,2,1,3,22
1,1,2,No,2,21% - 30%,1,1,1,0,1,2,2,7
2,0,1,Yes,5,31% - 40%,1,4,0,2,1,2,3,17
0,1,1,No,5,41% - 50%,2,3,0,1,0,0,0,36
1,1,2,No,2,21% - 30%,1,2,0,0,1,1,3,36
1,2,2,No,3,31% - 40%,1,3,0,0,1,1,2,Pipalda
0,1,1,No,3,21% - 30%,2,4,0,3,0,2,0,19
0,1,1,No,3,21% - 30%,2,3,0,0,0,3,0,22
1,1,2,No,1,10% - 20%,1,3,0,0,1,1,3,22
0,1,1,No,4,21% - 30%,2,3,0,0,0,1,3,Publicity
1,0,2,No,5,>50%,0,4,1,0,3,0,2,Dammam
0,1,1,No,1,31% - 40%,1,0,0,0,0,1,0,19
0,3,2,No,2,41% - 50%,2,4,0,0,0,1,2,36
0,0,2,Yes,3,10% - 20%,2,2,0,0,0,1,3,19
1,1,1,No,4,>50%,1,2,1,0,2,1,2,36
1,2,2,No,2,21% - 30%,1,3,0,0,1,1,3,36
0,1,1,No,2,21% - 30%,2,3,0,0,0,1,3,19
0,2,1,No,3,31% - 40%,2,3,0,1,0,1,0,36
0,3,2,No,3,31% - 40%,2,2,0,0,1,2,2,32
0,2,2,No,5,21% - 30%,2,4,1,0,3,3,2,22
1,0,2,No,3,10% - 20%,1,4,1,0,1,1,3,32
0,1,2,Yes,4,>50%,2,1,1,0,1,3,2,38
0,1,1,No,5,21% - 30%,2,4,0,0,0,0,0,38
2,1,1,No,4,10% - 20%,1,4,0,0,0,3,3,38
1,1,1,No,3,21% - 30%,2,2,1,1,1,2,3,39
2,3,1,Yes,3,>50%,1,4,0,0,0,3,0,39
0,1,1,No,3,31% - 40%,2,3,0,0,0,3,0,Kharghar
1,3,1,Yes,3,31% - 40%,1,2,0,0,0,1,2,22
1,2,1,No,5,31% - 40%,2,4,0,2,2,1,3,22
2,0,1,Yes,3,21% - 30%,1,1,0,0,0,1,2,36
0,1,2,No,2,31% - 40%,2,3,0,0,0,1,2,36
1,1,2,Yes,3,10% - 20%,1,3,1,0,0,1,2,36
1,1,2,No,4,21% - 30%,2,3,1,0,1,2,2,36
1,1,2,No,4,21% - 30%,1,3,0,0,0,3,2,12
0,2,1,No,5,>50%,2,4,1,2,3,2,3,Asangaon
2,2,2,No,3,31% - 40%,1,1,1,0,2,2,3,VasaiEast
1,3,1,No,5,21% - 30%,2,2,0,0,0,2,0,22
1,2,1,No,3,21% - 30%,2,0,0,0,0,1,0,Dombivali
0,1,2,No,3,31% - 40%,2,2,0,0,2,3,0,12
1,1,1,No,5,41% - 50%,1,2,0,0,0,3,3,32
0,1,2,No,5,10% - 20%,2,2,0,1,0,2,0,22
2,1,1,Yes,3,10% - 20%,1,1,0,0,0,1,0,22
1,2,1,Yes,5,21% - 30%,2,3,0,0,0,1,0,10
1,1,1,No,2,10% - 20%,2,2,0,0,0,1,0,10
0,0,2,No,3,10% - 20%,2,2,0,0,0,0,3,10
0,1,2,No,3,10% - 20%,2,2,0,0,0,1,3,4
0,1,1,No,1,21% - 30%,2,2,0,0,0,2,0,32
2,1,1,No,3,31% - 40%,1,3,0,0,1,2,3,39
2,1,1,No,4,31% - 40%,1,4,0,0,0,1,0,39
2,2,2,No,5,21% - 30%,0,4,1,0,0,0,2,4
0,2,1,No,5,41% - 50%,2,4,0,2,1,3,2,32
0,1,1,Yes,2,>50%,2,4,1,1,0,3,0,4
1,3,1,No,5,41% - 50%,2,4,1,3,3,3,0,39
0,0,2,No,5,31% - 40%,2,2,0,0,1,0,3,10
1,1,2,No,3,10% - 20%,1,2,0,0,0,0,3,10
0,0,1,No,2,10% - 20%,2,0,1,0,1,3,0,13
2,2,1,No,4,21% - 30%,1,4,0,0,1,3,0,39
0,1,2,No,4,41% - 50%,2,4,0,0,2,3,3,38
2,2,1,No,4,31% - 40%,1,4,0,0,1,3,2,10
2,0,1,No,2,10% - 20%,1,2,0,0,0,1,0,7
2,1,1,No,1,21% - 30%,1,3,0,0,1,2,0,32
0,1,2,No,3,21% - 30%,2,3,0,0,1,1,2,13
0,1,2,No,4,21% - 30%,2,4,0,1,1,1,0,22
2,1,1,No,1,21% - 30%,1,1,0,0,0,2,0,22
2,1,1,No,3,41% - 50%,1,1,0,0,0,2,3,22
2,1,1,Yes,5,21% - 30%,1,4,1,0,0,1,0,22
2,1,1,No,3,10% - 20%,1,0,0,0,0,2,2,13
0,0,1,No,4,21% - 30%,2,3,0,0,0,2,2,7
0,3,2,Yes,2,21% - 30%,2,3,0,0,1,0,0,7
0,1,2,Yes,4,21% - 30%,2,3,0,0,1,0,0,7
0,2,2,No,3,10% - 20%,2,2,0,0,0,0,0,7
0,1,1,No,4,41% - 50%,2,4,0,0,1,1,0,13
0,0,1,No,5,10% - 20%,2,1,0,0,0,2,3,36
1,1,2,No,3,21% - 30%,1,2,0,0,0,1,3,36
1,1,1,No,3,21% - 30%,1,2,0,0,0,2,2,38
0,1,1,No,2,>50%,1,4,1,0,1,0,0,13
0,0,1,No,3,31% - 40%,2,1,0,0,2,2,3,36
1,1,2,No,2,10% - 20%,1,2,0,0,0,0,2,13
0,0,1,No,1,21% - 30%,2,1,0,0,1,0,2,19
2,3,2,No,5,>50%,1,4,0,3,0,0,0,13
0,1,2,No,3,31% - 40%,2,2,1,1,2,1,2,10
2,0,1,No,2,10% - 20%,1,3,0,0,0,1,0,10
1,0,1,No,2,10% - 20%,1,2,0,0,0,1,0,10
2,0,1,No,1,10% - 20%,1,4,0,0,0,1,3,32
0,2,1,No,4,31% - 40%,2,2,0,1,2,1,2,36
1,1,2,No,3,21% - 30%,1,1,0,0,0,0,2,36
0,1,1,No,1,31% - 40%,2,3,1,2,1,2,3,13
0,3,1,No,3,10% - 20%,2,4,0,0,0,1,0,36
0,1,1,No,3,21% - 30%,2,1,1,0,0,1,0,10
0,0,1,No,2,10% - 20%,2,4,1,0,0,1,0,36
0,2,2,No,1,10% - 20%,2,2,0,0,0,3,0,10
0,0,2,No,3,10% - 20%,1,4,0,0,0,0,0,36
0,2,2,No,5,>50%,2,2,0,0,3,0,0,38
0,1,2,No,5,31% - 40%,2,3,0,1,1,1,3,13
1,1,1,Yes,4,31% - 40%,1,1,0,0,0,1,0,10
0,0,1,No,2,10% - 20%,2,1,0,0,0,0,0,10
1,0,1,No,3,10% - 20%,2,3,0,0,0,1,0,10
1,1,1,No,3,21% - 30%,2,4,0,0,0,1,3,10
1,0,1,No,3,31% - 40%,1,4,0,0,1,1,2,10
0,1,1,No,5,31% - 40%,2,4,1,0,1,1,2,10
0,0,1,No,3,10% - 20%,2,3,0,0,0,0,3,10
0,0,1,No,3,10% - 20%,2,2,0,0,0,0,0,10
1,1,1,No,4,31% - 40%,1,4,0,0,1,1,2,22
0,1,1,No,3,21% - 30%,2,1,0,0,0,1,3,13
0,1,1,Yes,3,41% - 50%,2,2,1,0,1,1,3,10
0,1,1,No,5,31% - 40%,2,2,1,2,0,1,0,13
0,0,2,No,5,41% - 50%,2,3,0,0,0,2,2,33
0,1,1,No,3,31% - 40%,2,2,0,0,0,3,0,13
0,0,2,No,1,21% - 30%,2,1,0,0,1,1,2,13
0,0,1,No,1,21% - 30%,2,1,0,0,1,1,3,36
1,1,2,No,3,10% - 20%,1,2,0,0,0,1,2,36
1,1,2,No,3,21% - 30%,1,3,0,0,0,0,2,22
2,0,1,No,3,>50%,1,1,0,0,0,1,0,13
0,0,1,No,3,31% - 40%,2,3,0,0,1,2,0,13
0,3,2,No,3,41% - 50%,2,4,0,1,1,0,2,22
2,1,2,No,3,41% - 50%,1,0,1,0,1,1,2,13
0,2,2,No,3,41% - 50%,2,3,0,0,0,2,0,22
2,1,1,No,4,31% - 40%,1,1,0,1,0,0,2,13
0,1,1,No,5,21% - 30%,2,4,0,0,0,0,3,22
2,1,1,No,3,31% - 40%,1,3,0,0,0,2,0,13
0,0,1,No,4,21% - 30%,2,1,0,0,0,1,3,22
2,1,1,Yes,3,21% - 30%,1,0,1,0,0,1,0,39
0,1,2,No,3,41% - 50%,2,2,1,0,1,1,3,38
0,1,2,No,3,>50%,2,4,0,0,3,1,2,13
0,2,2,No,2,41% - 50%,2,4,1,0,1,1,2,13
0,0,2,Yes,3,>50%,2,2,1,0,1,3,3,13
0,1,1,No,5,31% - 40%,2,3,0,0,0,0,0,38
0,1,1,No,5,10% - 20%,2,4,0,0,0,3,3,32
2,2,2,No,4,41% - 50%,1,2,0,2,2,3,2,10
0,1,1,No,3,10% - 20%,2,2,0,0,0,0,3,33
0,3,1,Yes,3,31% - 40%,2,2,0,0,0,0,2,21
0,2,1,No,5,41% - 50%,2,2,1,2,2,2,0,38
0,3,1,No,5,>50%,2,4,0,3,3,1,2,38
0,1,1,No,5,41% - 50%,2,4,0,2,2,0,2,38
0,1,1,No,3,41% - 50%,2,4,1,1,2,2,2,10
1,0,1,No,2,10% - 20%,1,4,0,0,0,1,3,10
0,0,1,No,3,10% - 20%,2,4,0,0,1,0,3,33
0,1,2,No,5,31% - 40%,2,4,0,1,1,1,0,10
0,1,1,No,4,41% - 50%,2,3,0,0,0,1,0,38
0,0,1,No,3,41% - 50%,2,4,1,0,0,1,2,10
0,1,1,No,4,21% - 30%,2,1,0,0,0,0,3,7
1,0,1,Yes,2,21% - 30%,1,2,0,0,1,2,2,Badarpurborder
0,1,1,No,2,41% - 50%,2,2,1,0,2,1,3,13
0,3,2,No,3,41% - 50%,2,4,1,0,1,3,0,10
0,3,2,No,4,41% - 50%,2,4,0,3,3,0,2,13
0,0,2,No,4,10% - 20%,2,2,0,0,1,3,0,10
0,0,1,No,3,10% - 20%,2,2,0,0,0,0,3,13
0,1,1,No,4,31% - 40%,2,1,0,1,1,3,2,10
0,0,1,No,2,10% - 20%,2,3,1,0,0,1,0,13
0,1,1,No,5,10% - 20%,2,3,0,1,0,1,0,5
0,1,2,No,3,41% - 50%,2,4,1,1,1,1,3,39
0,1,1,Yes,3,41% - 50%,2,4,0,0,1,1,0,Nowgong
0,0,1,No,4,10% - 20%,2,4,0,0,0,3,3,13
0,0,1,No,1,10% - 20%,2,1,0,1,0,3,0,38
0,0,1,No,3,41% - 50%,2,4,0,0,3,0,0,38
0,3,1,No,5,31% - 40%,2,1,1,0,1,0,2,38
0,1,2,No,5,31% - 40%,2,2,1,1,1,0,3,13
1,1,1,No,5,21% - 30%,1,1,1,0,0,1,0,38
0,1,2,No,5,21% - 30%,2,1,0,0,1,2,3,38
0,3,1,No,4,21% - 30%,2,4,0,1,2,2,3,38
0,2,1,No,4,31% - 40%,2,4,1,0,1,0,0,13
0,0,2,No,3,10% - 20%,2,1,0,0,0,1,2,10
0,1,2,No,5,31% - 40%,2,3,0,0,0,1,0,38
0,2,1,No,5,21% - 30%,2,4,0,0,2,1,3,13
0,0,2,No,5,10% - 20%,2,0,0,0,0,3,0,13
0,2,2,No,5,>50%,2,4,0,0,3,1,3,39
2,2,2,No,3,21% - 30%,1,2,0,1,0,2,3,38
0,1,1,No,5,>50%,2,3,1,0,1,0,0,38
0,1,1,No,5,21% - 30%,2,3,0,0,0,1,0,5
0,0,2,No,3,41% - 50%,2,1,1,0,1,0,2,10
0,1,1,Yes,5,41% - 50%,2,4,0,0,1,0,3,5
0,1,1,No,2,>50%,2,4,0,1,1,1,3,38
0,1,1,No,5,41% - 50%,2,1,0,0,2,1,0,38
0,1,1,Yes,4,31% - 40%,2,1,0,1,0,0,0,5
0,2,2,No,2,21% - 30%,2,4,0,0,0,1,3,5
0,2,2,No,2,31% - 40%,2,4,0,1,1,1,2,38
0,0,1,No,5,41% - 50%,2,1,0,0,2,1,2,38
0,3,1,No,5,31% - 40%,2,4,1,2,1,1,2,13
0,0,2,No,5,41% - 50%,2,1,0,0,1,1,0,Hno.A/190kapracolonyairforceroadnearCanaraBank
0,1,1,No,1,10% - 20%,2,1,0,0,1,0,0,FBD
0,3,1,No,2,>50%,2,2,1,0,2,1,3,38
1,1,1,Yes,4,31% - 40%,1,1,0,0,1,1,3,41
0,3,1,No,4,>50%,2,4,0,0,0,1,0,41
0,3,2,No,2,41% - 50%,2,4,1,0,0,2,3,41
