Age,Monthy Earnings,Gender,Home Loan ,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
1,1,2,Yes,2,31% - 40%,2,2,0,1,2,3,0,7
2,1,1,Yes,2,31% - 40%,1,3,1,0,1,2,0,5
0,1,1,No,3,10% - 20%,2,3,0,0,0,0,0,22
2,0,1,Yes,3,10% - 20%,1,1,0,0,0,1,0,22
3,2,1,No,4,>50%,1,1,0,0,2,3,3,22
2,1,1,No,4,31% - 40%,1,1,0,0,0,2,0,22
2,1,1,No,2,10% - 20%,1,2,1,0,0,2,3,13
0,0,1,No,3,10% - 20%,2,4,0,0,0,2,3,13
0,3,2,Yes,5,41% - 50%,2,4,0,3,1,1,3,22
2,1,1,No,4,21% - 30%,1,1,0,1,1,2,3,22
1,2,2,No,5,>50%,1,4,1,1,1,1,2,22
1,3,1,No,3,21% - 30%,1,1,0,1,0,1,0,13
0,0,2,No,1,31% - 40%,2,1,0,0,1,3,3,13
0,1,2,No,4,31% - 40%,2,1,0,0,0,0,3,13
0,1,1,No,4,31% - 40%,2,2,0,0,0,1,2,PanipatHaryana
1,2,1,No,1,10% - 20%,2,2,0,0,0,2,0,22
2,1,1,No,1,21% - 30%,1,2,0,0,0,1,0,10
0,1,2,No,4,31% - 40%,2,1,0,0,0,0,0,13
0,0,1,Yes,4,21% - 30%,2,3,0,0,1,2,0,7
2,1,1,Yes,2,21% - 30%,1,2,0,0,1,3,0,7
2,1,1,No,1,21% - 30%,2,1,0,0,0,1,0,10
0,1,2,No,3,10% - 20%,2,4,0,0,0,2,2,13
0,1,2,No,3,31% - 40%,2,3,0,1,1,0,0,5
2,2,2,No,3,>50%,1,4,0,0,0,1,3,5
0,0,2,No,3,31% - 40%,2,2,1,1,1,0,2,16
0,1,1,No,3,31% - 40%,2,2,0,0,0,2,2,17
2,1,1,No,1,21% - 30%,1,1,0,0,1,1,0,17
0,0,2,Yes,4,41% - 50%,2,1,0,0,1,1,2,17
2,0,1,No,1,21% - 30%,1,3,0,0,2,1,0,17
0,0,1,No,3,31% - 40%,2,0,0,0,0,1,2,17
0,0,2,No,5,21% - 30%,2,3,1,0,1,3,2,17
0,0,2,No,1,21% - 30%,2,1,1,0,1,3,0,17
2,0,1,No,3,41% - 50%,1,0,0,0,0,1,2,17
0,0,2,No,1,21% - 30%,2,1,0,0,1,3,2,17
2,1,1,No,3,10% - 20%,1,0,0,0,1,2,0,5
0,1,2,No,3,>50%,2,2,0,0,1,3,3,13
0,0,1,No,3,21% - 30%,2,2,0,0,0,2,2,22
0,3,1,Yes,3,41% - 50%,1,1,0,2,2,1,3,13
1,1,1,No,3,10% - 20%,2,3,0,0,0,2,0,GOVINDGARHJAIPURDISTRICT
0,1,1,No,5,41% - 50%,2,3,0,0,1,1,2,38
2,2,1,No,5,21% - 30%,1,2,0,0,1,1,0,7
0,2,1,No,3,31% - 40%,2,1,0,1,1,0,2,33
1,2,1,No,3,31% - 40%,2,3,1,0,0,1,3,itawa
1,1,1,Yes,3,31% - 40%,2,1,0,0,1,3,0,5
0,3,1,No,5,>50%,2,4,1,0,1,0,3,38
1,0,1,No,1,21% - 30%,2,1,1,0,0,0,0,12
0,1,2,No,3,41% - 50%,2,4,0,0,2,1,0,38
1,3,1,No,2,21% - 30%,2,3,1,3,3,2,2,7
2,3,1,No,1,21% - 30%,2,2,1,0,1,1,0,Niwae
0,0,1,Yes,1,21% - 30%,2,1,0,0,1,1,0,38
0,3,2,No,5,>50%,2,4,1,3,0,1,0,Bapunagar
0,1,2,No,2,21% - 30%,2,0,1,0,2,3,3,5
0,2,1,No,5,31% - 40%,2,4,1,1,2,0,2,Bangloresouth
0,1,1,No,1,>50%,2,1,0,0,2,3,3,17
2,1,1,No,2,21% - 30%,1,0,0,0,0,0,0,12
0,1,1,Yes,1,10% - 20%,2,3,1,0,0,1,3,16
0,3,2,No,5,>50%,2,3,1,0,0,0,0,17
0,0,1,No,1,21% - 30%,2,0,0,0,0,1,0,17
0,1,2,No,4,31% - 40%,2,1,0,0,0,1,0,BagalururoadTamilnadu
2,1,2,No,2,31% - 40%,1,0,1,0,0,1,0,16
1,3,2,No,3,21% - 30%,2,4,1,0,0,3,3,5
0,2,1,No,5,21% - 30%,2,3,1,0,1,3,3,41
0,0,1,No,5,21% - 30%,2,2,0,0,0,0,0,17
0,0,2,No,1,21% - 30%,2,0,0,0,1,1,0,7
2,0,1,No,1,21% - 30%,1,1,0,0,1,1,0,Itawa
2,1,1,Yes,2,31% - 40%,1,2,0,0,1,1,0,39
2,1,1,No,2,21% - 30%,2,1,0,0,1,1,0,5
0,1,2,No,3,31% - 40%,2,4,0,0,0,1,3,5
0,1,2,No,1,10% - 20%,2,2,1,0,0,3,0,41
0,3,1,No,2,31% - 40%,2,2,0,0,0,1,3,41
0,0,1,No,3,21% - 30%,2,4,0,0,1,0,0,16
0,1,1,No,4,>50%,2,4,1,1,2,2,2,32
0,1,1,Yes,3,41% - 50%,2,4,0,1,2,2,3,32
0,1,1,No,4,10% - 20%,2,4,0,0,0,2,3,32
0,1,1,No,5,31% - 40%,2,1,1,0,0,1,3,32
0,1,1,Yes,4,31% - 40%,2,4,0,0,0,0,0,32
0,1,1,No,3,21% - 30%,2,3,0,0,0,0,0,32
0,2,1,No,3,41% - 50%,2,3,0,2,1,1,2,17
0,3,2,No,4,21% - 30%,2,2,0,1,0,1,0,32
0,3,1,No,3,31% - 40%,2,4,0,0,0,0,0,15
0,3,1,No,4,10% - 20%,2,4,0,0,0,0,3,32
0,1,2,No,3,21% - 30%,2,4,0,0,1,0,0,16
0,3,1,No,4,31% - 40%,2,4,0,3,2,0,3,13
0,3,2,No,2,31% - 40%,2,2,0,0,1,1,3,17
0,3,2,No,5,41% - 50%,2,2,0,3,0,1,2,32
0,2,2,No,2,10% - 20%,2,3,0,1,0,1,0,4
0,2,2,Yes,4,41% - 50%,2,1,0,2,1,1,3,39
1,1,1,No,3,21% - 30%,1,2,0,0,0,0,3,10
1,3,1,No,3,41% - 50%,2,4,0,3,3,1,2,32
2,1,1,No,5,31% - 40%,1,3,0,0,0,1,2,32
0,1,1,No,5,31% - 40%,2,2,0,1,1,2,3,10
0,1,2,No,4,41% - 50%,2,2,0,1,0,3,2,32
0,1,1,No,3,21% - 30%,2,2,1,0,0,1,2,35
0,2,2,No,3,31% - 40%,2,2,0,1,0,1,3,4
1,1,1,No,3,21% - 30%,2,2,0,0,0,3,2,32
0,2,1,No,2,31% - 40%,2,3,0,1,1,3,3,32
0,2,1,No,3,31% - 40%,2,2,If there will be a need,0,1,1,3,32
0,3,1,No,5,10% - 20%,2,4,0,0,3,2,0,13
0,1,1,No,5,>50%,2,3,0,2,0,3,0,32
0,1,2,No,2,10% - 20%,2,3,0,0,1,0,0,17
0,1,2,No,3,31% - 40%,2,1,0,0,0,0,0,17
0,0,2,No,1,>50%,2,1,1,0,0,1,0,10
0,1,1,No,4,>50%,2,4,0,0,0,3,0,41
0,0,1,Yes,4,10% - 20%,2,3,0,0,1,0,2,32
0,2,1,No,2,31% - 40%,2,3,1,0,2,1,0,17
0,0,1,No,3,21% - 30%,2,0,0,0,0,0,0,33
1,1,2,Yes,5,31% - 40%,2,4,0,1,1,1,3,7
1,2,1,Yes,5,31% - 40%,2,2,1,2,1,1,0,7
1,1,1,Yes,5,21% - 30%,1,2,1,2,2,1,0,7
1,1,1,Yes,5,21% - 30%,2,3,1,1,2,1,2,22
0,3,1,Yes,4,41% - 50%,2,1,0,0,0,2,2,32
1,2,1,No,3,41% - 50%,2,2,1,1,1,1,3,33
1,2,2,No,2,31% - 40%,2,4,0,0,1,1,2,17
2,1,1,Yes,4,>50%,1,2,0,0,1,3,2,33
2,1,1,Yes,1,21% - 30%,1,2,0,0,1,0,0,38
0,3,1,No,3,>50%,2,2,0,0,3,2,2,22
0,2,1,No,3,41% - 50%,2,1,0,0,0,1,2,38
0,0,1,No,5,31% - 40%,2,4,1,0,2,1,3,22
0,1,1,No,1,21% - 30%,2,2,0,1,1,1,2,38
0,1,1,Yes,5,10% - 20%,2,4,1,0,0,2,3,13
1,0,2,No,4,10% - 20%,2,3,0,0,0,2,0,33
0,1,1,No,4,31% - 40%,2,2,0,1,2,1,0,33
0,1,1,No,4,41% - 50%,2,4,0,1,2,1,2,38
0,1,2,No,5,>50%,2,4,0,0,0,3,0,13
0,2,1,No,5,21% - 30%,2,2,1,0,2,1,3,5
0,0,2,No,3,41% - 50%,2,2,0,0,0,1,0,38
0,1,1,Yes,3,21% - 30%,2,1,1,0,0,1,2,10
0,1,1,No,3,10% - 20%,2,3,0,0,1,1,0,17
0,0,1,No,2,21% - 30%,2,0,1,0,0,0,0,17
0,0,1,No,2,31% - 40%,2,0,1,0,1,0,0,38
0,2,2,No,4,21% - 30%,2,3,1,0,1,0,2,17
0,0,2,No,1,21% - 30%,2,1,0,0,0,0,0,10
0,1,1,No,1,21% - 30%,2,4,0,1,1,1,3,33
2,2,1,Yes,3,31% - 40%,1,3,0,0,1,1,0,17
0,0,2,No,1,21% - 30%,2,0,0,0,0,0,0,38
0,1,2,No,5,31% - 40%,2,4,0,0,0,0,3,10
0,1,1,No,3,21% - 30%,2,2,0,0,1,2,0,10
1,1,1,No,3,31% - 40%,2,1,0,1,1,2,0,itawa
2,1,1,Yes,2,21% - 30%,1,2,0,0,1,1,0,33
1,1,2,No,1,>50%,1,4,0,0,0,1,2,33
2,1,1,No,4,>50%,1,2,0,0,1,1,2,10
0,0,1,No,5,10% - 20%,2,2,0,0,3,2,2,10
0,0,1,No,1,10% - 20%,2,4,0,0,0,1,0,38
0,1,2,No,3,41% - 50%,2,3,1,0,1,1,3,13
0,0,1,No,1,21% - 30%,2,0,1,0,1,0,2,22
0,1,1,No,5,>50%,2,1,1,0,2,2,2,33
1,1,2,No,3,31% - 40%,1,2,0,0,3,1,0,22
1,1,2,No,5,>50%,2,0,1,0,0,1,2,10
0,2,2,No,4,41% - 50%,2,3,0,1,2,0,2,38
0,3,1,No,5,41% - 50%,2,1,0,1,2,0,3,5
0,1,2,No,1,>50%,2,4,1,2,0,0,2,5
0,2,2,No,3,31% - 40%,2,4,0,1,1,1,3,33
0,1,2,No,2,31% - 40%,2,4,0,0,1,1,0,39
2,1,2,No,3,31% - 40%,1,2,1,1,1,1,3,10
0,0,2,No,1,10% - 20%,2,1,0,0,0,1,0,22
0,3,2,No,2,41% - 50%,2,1,0,0,0,2,3,38
0,3,1,No,5,10% - 20%,2,4,0,0,0,3,3,33
0,1,1,Yes,4,21% - 30%,2,1,1,1,0,1,3,38
0,1,2,No,3,21% - 30%,2,2,0,0,0,1,2,38
0,1,1,No,3,21% - 30%,2,2,0,0,1,0,3,5
0,0,1,No,5,>50%,2,1,0,0,3,0,3,5
0,0,1,No,5,>50%,2,4,1,0,2,0,3,22
1,2,1,No,5,31% - 40%,2,3,0,0,1,2,2,5
0,0,1,No,4,10% - 20%,2,3,1,0,1,1,3,10
0,0,2,Yes,2,21% - 30%,2,0,1,0,0,3,2,13
0,1,2,No,4,21% - 30%,2,4,0,0,1,1,3,13
0,0,1,No,3,10% - 20%,2,2,1,0,1,2,2,10
0,1,2,No,2,>50%,2,4,0,2,0,0,3,10
1,0,1,Yes,1,10% - 20%,1,2,0,0,0,2,0,10
0,2,2,Yes,4,41% - 50%,2,2,0,0,0,1,2,38
0,1,1,No,4,41% - 50%,2,3,0,0,2,1,2,38
0,1,2,No,4,31% - 40%,2,3,1,0,1,1,2,10
0,1,2,No,3,41% - 50%,2,4,1,0,1,0,0,38
0,1,1,Yes,4,10% - 20%,2,4,0,0,0,1,0,10
0,1,2,No,5,31% - 40%,2,4,0,0,3,3,3,5
0,1,1,No,4,>50%,2,3,1,0,0,0,3,SERAMPOR
0,1,1,Yes,1,21% - 30%,2,1,0,0,0,0,0,38
0,0,2,No,2,10% - 20%,2,1,0,0,1,0,3,38
0,1,2,No,5,21% - 30%,2,3,0,0,1,1,0,38
0,1,1,No,4,21% - 30%,2,2,0,0,0,1,2,ferozpurcity
0,3,1,No,5,>50%,2,4,0,2,2,1,3,Tarneit
0,3,1,No,3,31% - 40%,2,3,0,2,1,1,3,41
0,1,1,No,5,>50%,2,3,0,2,3,1,0,32
0,2,1,No,4,31% - 40%,2,3,0,1,1,3,2,32
0,1,1,No,3,21% - 30%,2,3,0,1,1,0,3,21
0,3,1,No,5,>50%,2,4,0,0,2,1,3,10
0,2,1,No,5,10% - 20%,2,2,0,0,0,2,0,10
0,1,1,No,4,>50%,2,2,1,3,1,1,3,10
0,1,1,Yes,5,10% - 20%,2,3,0,1,2,2,3,38
0,0,1,No,2,10% - 20%,2,4,1,0,0,1,3,41
0,1,1,No,4,41% - 50%,2,2,0,0,1,0,3,22
0,1,1,Yes,3,21% - 30%,2,1,0,0,0,1,3,10
0,1,1,No,4,10% - 20%,2,3,0,0,0,1,0,10
0,2,2,Yes,5,31% - 40%,2,3,0,0,1,1,2,22
0,3,1,Yes,4,41% - 50%,2,1,0,0,0,0,0,22
1,3,1,Yes,3,31% - 40%,2,2,0,1,2,2,3,22
0,1,1,No,2,31% - 40%,2,0,0,0,0,1,0,22
0,2,2,Yes,4,41% - 50%,2,1,0,0,0,0,2,Mumbra
1,1,1,No,5,>50%,2,2,0,0,2,1,2,5
0,0,1,No,1,10% - 20%,2,1,1,0,0,2,3,22
2,3,2,Yes,3,41% - 50%,1,1,0,0,0,0,0,Naida
0,0,1,No,4,10% - 20%,2,3,0,0,0,1,0,10
0,1,1,No,5,>50%,2,1,0,1,0,1,3,10
0,1,1,No,3,41% - 50%,2,1,0,0,1,0,3,Orissa
0,1,2,No,4,31% - 40%,2,2,1,1,2,1,2,38
0,2,2,No,5,31% - 40%,2,4,1,1,1,1,3,5
0,0,1,No,1,10% - 20%,2,1,1,0,0,2,3,Najafgarh
0,1,2,No,3,31% - 40%,2,3,0,0,1,3,3,10
0,2,2,No,3,>50%,2,4,0,0,0,1,0,16
0,3,2,No,3,10% - 20%,2,2,1,0,0,1,2,22
0,1,1,No,5,>50%,2,2,0,2,1,2,0,12
0,1,1,No,5,31% - 40%,2,3,0,1,1,2,0,10
0,1,2,No,3,>50%,2,3,0,1,1,3,3,22
0,2,2,No,3,21% - 30%,2,1,0,0,0,2,3,10
0,1,2,No,3,21% - 30%,2,1,0,0,1,3,3,10
0,3,2,No,3,41% - 50%,2,2,0,0,0,3,2,39
0,0,2,No,5,>50%,2,1,1,0,3,1,2,19
0,0,1,No,2,>50%,2,2,0,0,0,0,0,10
0,1,2,No,4,31% - 40%,2,2,0,0,0,1,2,5
0,0,1,Yes,1,10% - 20%,2,1,1,0,0,1,3,22
0,2,2,No,4,31% - 40%,2,1,0,1,1,0,2,38
1,3,1,No,5,>50%,1,4,0,3,2,1,2,5
0,1,1,No,1,41% - 50%,2,2,1,0,3,3,2,22
0,0,2,No,4,31% - 40%,2,2,0,1,2,1,3,12
0,2,2,No,2,21% - 30%,2,2,0,0,1,1,3,12
0,1,1,No,5,31% - 40%,2,3,0,0,0,1,3,10
0,1,1,No,5,10% - 20%,2,2,1,0,0,1,2,22
2,1,2,Yes,5,31% - 40%,1,2,0,1,1,0,0,10
0,1,2,No,3,10% - 20%,2,2,0,0,0,0,0,22
0,1,1,No,5,41% - 50%,2,0,0,0,0,1,0,10
0,1,2,No,1,21% - 30%,2,4,0,1,1,0,0,22
1,1,1,No,1,31% - 40%,2,0,0,0,0,1,0,10
0,1,2,No,3,>50%,2,3,0,0,0,1,3,10
0,1,2,No,3,31% - 40%,2,4,0,0,0,0,3,10
0,0,1,No,1,10% - 20%,2,0,0,0,0,2,3,10
1,1,2,Yes,5,21% - 30%,2,2,0,1,1,1,2,22
0,1,1,Yes,4,41% - 50%,2,1,0,0,2,3,3,10
0,1,2,Yes,3,10% - 20%,2,1,0,1,0,1,0,10
0,1,2,No,4,10% - 20%,2,3,0,0,0,2,0,22
0,3,2,No,3,31% - 40%,2,1,0,0,1,1,3,10
0,1,1,No,5,>50%,2,4,0,0,1,0,2,33
0,1,2,Yes,2,10% - 20%,2,2,0,0,0,1,0,10
0,1,1,No,5,21% - 30%,2,1,0,3,0,1,0,Wellingborough
1,3,1,No,4,31% - 40%,2,1,0,3,0,1,3,38
0,3,2,No,5,41% - 50%,2,4,0,0,1,0,3,38
0,1,2,No,4,21% - 30%,2,3,0,0,1,0,2,22
0,2,1,No,5,>50%,2,1,0,0,1,1,0,22
0,2,2,No,3,31% - 40%,2,3,0,0,1,1,3,38
0,0,2,No,3,21% - 30%,2,4,0,0,0,1,0,22
0,1,2,Yes,2,>50%,2,3,1,0,1,2,3,38
0,1,2,Yes,5,31% - 40%,2,2,0,0,0,1,2,17
0,0,2,No,1,41% - 50%,2,0,0,0,2,3,0,Mumbra
0,1,1,No,2,21% - 30%,2,1,0,1,0,1,3,17
0,0,2,No,2,21% - 30%,2,0,0,0,0,0,0,10
0,0,1,Yes,2,10% - 20%,2,1,0,0,1,1,3,22
0,1,1,No,5,21% - 30%,2,0,0,1,1,2,0,22
0,3,1,No,5,10% - 20%,2,1,0,0,0,0,2,22
0,0,1,No,3,21% - 30%,2,1,0,1,0,2,2,22
0,0,2,No,1,10% - 20%,2,1,0,0,0,1,3,22
0,2,2,No,3,41% - 50%,2,1,1,0,0,1,3,22
0,1,1,No,3,31% - 40%,2,1,1,0,0,1,0,22
0,2,2,No,2,31% - 40%,2,0,0,0,0,0,0,Seawoods
0,3,2,No,5,41% - 50%,2,3,0,0,1,0,2,22
0,1,2,No,4,41% - 50%,2,2,0,1,2,1,0,22
0,2,1,No,3,21% - 30%,2,1,1,1,1,1,2,22
0,1,1,No,4,21% - 30%,2,0,1,0,0,0,0,22
0,3,1,Yes,4,21% - 30%,2,2,0,0,0,0,0,22
0,2,1,No,3,41% - 50%,2,1,0,0,1,1,0,Satpuli
0,1,1,No,1,10% - 20%,2,2,1,0,1,3,3,22
0,0,1,Yes,3,21% - 30%,2,1,0,0,1,2,3,22
0,1,1,No,3,21% - 30%,2,1,0,0,0,1,0,Dombivali
0,3,1,No,3,21% - 30%,2,1,0,1,2,2,3,10
0,1,2,No,5,41% - 50%,2,1,1,0,2,3,2,22
0,2,2,No,5,>50%,2,1,0,0,0,0,3,22
0,3,1,No,4,21% - 30%,2,4,1,2,0,1,3,38
0,1,1,Yes,5,41% - 50%,2,1,1,0,1,1,2,22
0,3,2,No,3,31% - 40%,2,2,0,0,0,1,3,10
0,1,2,No,4,21% - 30%,2,4,0,0,1,0,0,10
0,1,1,No,5,10% - 20%,2,2,0,0,0,0,2,22
0,1,2,No,3,21% - 30%,2,0,0,0,0,0,3,Mulund
0,1,1,No,4,31% - 40%,2,1,0,0,2,0,0,10
0,0,1,No,5,21% - 30%,2,2,0,1,1,1,2,38
0,1,2,No,3,31% - 40%,2,3,1,0,0,1,0,10
0,0,1,No,3,41% - 50%,2,1,0,0,0,1,0,22
0,1,1,No,4,31% - 40%,2,0,0,0,0,0,3,10
0,1,2,No,2,21% - 30%,2,1,0,0,0,2,0,22
0,3,1,No,5,21% - 30%,2,2,0,0,1,0,2,10
0,0,1,No,2,10% - 20%,2,1,0,0,0,0,3,10
0,0,2,Yes,3,31% - 40%,2,4,0,0,0,1,0,22
0,2,1,No,5,21% - 30%,2,1,0,1,1,2,0,16
0,3,2,No,3,21% - 30%,2,4,0,0,1,0,3,22
0,3,1,No,5,31% - 40%,2,1,0,1,3,1,3,22
0,0,2,No,3,31% - 40%,2,0,0,0,3,0,3,38
0,1,2,No,4,31% - 40%,2,4,1,0,1,2,0,22
0,3,1,No,1,31% - 40%,2,2,0,2,0,2,0,22
0,2,1,No,3,31% - 40%,2,4,0,1,0,0,2,22
0,1,1,No,3,10% - 20%,2,1,0,0,0,0,0,36
1,1,1,Yes,3,21% - 30%,2,1,0,0,0,1,2,38
3,1,1,No,3,21% - 30%,1,2,0,0,2,3,3,36
1,1,2,No,4,31% - 40%,2,4,0,0,0,1,2,UddhamSinghNagar
0,3,1,No,5,31% - 40%,2,4,1,1,2,0,3,38
2,1,2,No,4,21% - 30%,1,4,0,0,1,0,2,BINA
1,2,1,Yes,3,21% - 30%,2,4,1,1,0,3,2,33
1,3,1,No,5,21% - 30%,2,2,0,1,0,1,2,41
1,1,2,No,2,31% - 40%,2,3,1,0,2,1,3,17
0,1,1,No,4,31% - 40%,2,2,1,0,0,2,0,36
0,2,2,Yes,1,10% - 20%,1,2,0,1,1,1,3,36
1,3,2,No,3,31% - 40%,1,4,1,1,2,3,3,36
1,3,1,No,5,>50%,2,3,1,0,2,1,2,7
1,2,1,Yes,2,31% - 40%,2,4,0,1,0,1,2,38
3,1,1,No,4,10% - 20%,1,4,0,1,2,3,2,22
1,2,2,Yes,3,>50%,1,1,0,0,3,1,0,41
0,0,1,No,3,41% - 50%,2,2,1,0,1,2,3,21
0,3,1,No,4,>50%,2,2,0,2,0,1,2,38
2,3,1,Yes,2,41% - 50%,1,4,1,0,0,1,0,Trichy
0,1,1,No,4,21% - 30%,2,0,0,0,0,3,0,41
1,0,1,No,3,41% - 50%,2,2,1,0,1,2,3,36
1,1,1,No,3,31% - 40%,2,3,0,0,1,1,2,22
0,1,1,No,5,10% - 20%,2,1,1,1,0,0,3,21
0,1,1,No,3,>50%,2,1,1,0,1,0,2,10
0,1,1,No,4,31% - 40%,2,4,0,1,1,0,3,36
1,3,1,No,5,41% - 50%,2,4,0,1,0,1,3,36
0,1,1,Yes,4,21% - 30%,2,2,0,0,3,3,2,10
0,2,2,Yes,3,21% - 30%,2,0,1,1,3,3,2,16
0,3,1,No,4,21% - 30%,2,3,0,2,2,3,0,38
0,1,1,No,5,21% - 30%,2,4,0,0,0,0,0,41
1,2,1,Yes,3,41% - 50%,2,2,0,1,1,0,3,5
2,2,1,Yes,4,21% - 30%,1,2,0,1,1,2,2,22
0,1,1,No,2,21% - 30%,2,4,0,0,0,2,2,7
1,2,1,Yes,3,>50%,2,1,0,1,2,3,2,38
0,2,1,No,5,21% - 30%,2,3,0,0,0,1,3,17
0,1,1,No,5,10% - 20%,2,1,0,0,1,1,2,17
0,0,1,No,1,>50%,2,0,1,0,0,1,3,17
0,0,1,No,3,10% - 20%,2,0,0,0,0,1,3,17
1,3,1,No,5,>50%,2,3,0,3,1,2,2,17
0,2,1,No,4,21% - 30%,2,3,0,0,3,1,2,17
0,1,1,No,5,10% - 20%,2,4,0,0,2,1,2,38
1,0,1,No,2,21% - 30%,2,0,0,0,3,0,0,KALABURAGI
0,1,1,No,4,31% - 40%,2,3,1,0,1,0,3,17
0,1,1,No,3,>50%,2,1,0,1,3,1,2,39
0,0,1,No,5,21% - 30%,2,4,0,0,1,0,3,13
1,1,1,Yes,2,21% - 30%,2,2,0,0,1,1,3,17
0,0,1,No,4,31% - 40%,2,4,0,0,0,1,0,22
0,3,2,No,2,21% - 30%,2,2,0,0,1,0,2,17
0,0,1,No,4,21% - 30%,2,1,1,0,1,1,2,Bagewadi
0,0,1,No,5,>50%,2,2,0,1,2,1,3,38
0,1,1,No,3,31% - 40%,2,4,0,1,1,3,0,16
1,0,1,No,1,10% - 20%,1,1,0,0,3,3,0,17
0,0,1,No,3,31% - 40%,2,1,0,0,3,1,3,17
0,1,1,Yes,4,41% - 50%,2,1,0,0,1,1,2,17
1,3,1,No,4,10% - 20%,2,2,0,1,0,1,3,Gangavati
0,1,1,No,4,41% - 50%,2,1,0,1,3,1,2,Addanki-523201
0,1,2,No,3,10% - 20%,2,4,0,0,2,1,2,17
0,0,1,No,5,21% - 30%,2,2,0,0,0,1,3,KanpurNagar
0,3,1,Yes,5,31% - 40%,2,4,1,1,3,1,3,Shivamogga
0,0,1,No,3,21% - 30%,2,4,0,2,2,2,0,41
0,0,1,No,2,>50%,2,0,1,0,3,1,2,36
1,3,2,No,4,>50%,1,4,0,0,0,1,0,17
0,2,1,Yes,4,>50%,2,4,0,2,1,0,2,36
1,1,1,Yes,4,21% - 30%,2,3,0,1,1,1,2,17
0,0,1,No,4,31% - 40%,2,3,1,0,1,1,2,5
1,1,1,No,4,21% - 30%,2,2,0,0,0,2,3,10
1,3,1,No,5,>50%,2,4,0,0,0,0,2,17
0,2,2,No,4,31% - 40%,2,3,1,1,2,1,2,36
1,1,1,Yes,3,>50%,2,3,0,0,1,1,2,41
1,1,2,No,3,41% - 50%,2,3,0,0,0,1,0,22
0,3,1,No,2,10% - 20%,2,1,0,0,0,2,3,36
0,3,1,No,3,10% - 20%,2,4,1,2,1,0,3,6
0,2,1,No,5,41% - 50%,2,3,0,1,3,0,2,2
0,3,2,No,3,21% - 30%,2,4,0,1,0,0,2,2
1,2,1,Yes,3,31% - 40%,2,4,0,0,1,1,2,41
0,2,1,No,4,31% - 40%,2,1,0,0,1,0,0,Sawantwadi
0,0,1,No,5,31% - 40%,2,1,0,0,0,2,2,5
0,1,1,No,4,41% - 50%,2,0,0,0,0,0,2,5
1,3,1,No,5,41% - 50%,2,3,0,1,1,1,0,17
0,1,2,Yes,2,21% - 30%,2,1,1,0,1,1,3,22
1,0,1,No,2,>50%,2,2,0,0,0,3,3,Rajouri
1,3,1,No,3,>50%,2,4,0,1,0,0,0,36
0,1,1,No,5,10% - 20%,2,2,0,1,0,1,2,41
0,2,2,No,5,31% - 40%,2,3,0,0,1,0,2,Langerhouse
0,0,1,No,3,10% - 20%,2,2,0,0,1,0,3,36
0,1,1,No,2,21% - 30%,2,3,0,1,0,0,2,THANEWest
1,3,2,No,3,>50%,2,1,0,1,0,1,3,36
1,1,1,No,2,31% - 40%,2,2,1,1,3,1,2,vijayapur
0,1,1,No,4,41% - 50%,2,2,1,0,0,1,3,Kandukur
0,0,1,No,5,>50%,2,2,0,1,1,3,2,36
1,1,2,No,4,41% - 50%,2,2,0,2,0,1,0,10
0,3,1,Yes,4,21% - 30%,2,2,0,0,0,2,2,16
1,1,1,No,3,21% - 30%,2,2,0,0,1,0,2,2
0,1,1,Yes,4,31% - 40%,2,4,0,0,2,0,3,12
0,2,1,No,3,21% - 30%,2,2,0,0,0,0,0,36
1,0,1,No,3,>50%,2,3,0,0,1,0,3,7
0,1,1,No,5,31% - 40%,2,4,0,0,0,3,2,36
1,1,1,No,3,21% - 30%,1,3,0,0,1,1,2,36
0,3,1,No,3,31% - 40%,2,3,0,1,1,1,3,36
0,1,1,No,4,10% - 20%,2,1,0,0,0,0,3,2
1,1,1,No,5,21% - 30%,2,2,0,0,1,0,2,2
1,2,1,Yes,3,21% - 30%,2,2,0,1,1,0,2,2
0,1,1,No,4,21% - 30%,2,3,0,1,0,0,2,2
0,1,1,No,5,31% - 40%,2,4,0,0,3,2,3,36
1,3,1,Yes,3,21% - 30%,1,3,0,2,3,1,2,36
0,1,1,No,3,21% - 30%,2,2,0,2,2,1,2,Hanamkonda
0,0,1,No,3,21% - 30%,2,3,1,0,1,0,2,10
0,0,1,No,5,31% - 40%,2,1,0,0,1,1,2,36
0,1,1,No,2,21% - 30%,2,1,1,0,2,2,3,38
0,3,1,No,4,31% - 40%,2,2,0,1,0,3,0,10
1,1,1,No,2,31% - 40%,2,1,1,0,0,1,3,36
0,1,1,No,4,21% - 30%,2,2,1,0,1,1,2,5
1,1,1,No,4,41% - 50%,2,2,0,0,0,0,2,Gaziabad
1,3,2,No,3,31% - 40%,1,3,0,0,3,0,2,Vizag
0,3,1,Yes,4,31% - 40%,2,2,0,1,1,0,3,17
1,1,1,No,3,21% - 30%,2,1,0,0,0,1,3,17
1,3,1,No,4,10% - 20%,2,4,0,0,1,3,2,16
0,1,1,No,5,10% - 20%,2,4,0,0,2,3,3,33
0,1,2,No,4,31% - 40%,2,4,0,0,0,1,2,17
