Picked the phone
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
No
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Call Later
Yes
Yes
Yes
No
Call Later
No
No
Call Later
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Call Later
No
No
No
Call Later
No
Yes
Yes
No
Call Later
Call Later
Call Later

No
Call Later

No


No
Call Later
Call Later
No
No
No
No
Call Later
Call Later
Yes
Yes

Yes
Yes
No
No
Call Later
No

Call Later
Yes
No
No






Yes
Yes

Yes
No

Call Later

No
Yes
No
Yes
No
No

No
No
No
Yes


No
No
Yes
Yes

No
No
Yes
No
Yes
Yes
No
Call Later
No
No
Yes
No
Call Later
No
Yes
No
No
No
Yes
Yes
Call Later
Call Later
Call Later
Call Later
Yes

Call Later
No
No
Call Later
Call Later
No
No
No

Call Later
No
Yes
Call Later
Call Later
No
Call Later
Call Later
Call Later
Call Later

No

Yes
No

No
Call Later
Call Later
No
No
Yes
No

Call Later
Yes
Yes
No
Call Later
Call Later
No
No
Yes
Call Later
Yes


No
No
No
No
Call Later
No
Call Later
No
No
No
No

No
Call Later
Call Later
Call Later

No
Yes

No
No
Call Later
No
No
No
Call Later
Call Later
No
No

No
Call Later
No

No
No
Call Later
Call Later
Call Later
Call Later
Call Later
No
No

No
Call Later
Call Later
Call Later
No
No
Call Later
No
No
No
Call Later
No
No
Call Later
Call Later
Call Later
No
Yes
Call Later
No
Call Later
Yes
No
Call Later
No
Call Later
Yes
Yes
No
No
Call Later
Call Later
Call Later
Call Later
Call Later
Call Later
Call Later
No
No
No
Call Later
Call Later
Call Later
No
Call Later
No
No
Call Later
No
Call Later
Call Later
Call Later
No
Call Later
Call Later
No
No
No

Yes
Yes
No
No
No
No
No
No
No
No
Call Later
No
No
No
No
No
No
Call Later
Yes
Call Later
Call Later
Call Later
Call Later
Yes
No
Call Later
No
Call Later
Yes
Call Later

No
Call Later
Call Later
Call Later
No
No
Yes
No
No

No
No
No
No
Yes
No
No


Call Later
Call Later
Call Later
Call Later
Call Later
Call Later
Call Later
No

No
Call Later
No
No
Call Later
No
No
Call Later
No
No
Call Later
No
No
No
Call Later
Call Later
Call Later
No
No
No
Call Later
No
No
Yes
No
Call Later
Yes
Call Later
No
No
Yes
Yes
Yes
Yes
Yes
Yes
No
No
Yes
No
Call Later
Call Later
Yes
Yes
No
Yes
No
No
No
Call Later
No



No

Call Later
Yes
No
No
No
Yes
No
No
No
No
Call Later
No
No
No
Call Later
Call Later
No
No
No
No
No
Call Later
No
No
No
No
Call Later
No
Call Later
No
Call Later
No
No
Call Later
Yes
Call Later
No
Yes
No
No
No
No
No
No
No
Call Later
Yes
No
No
Call Later
No
Call Later
Call Later
No
No
No
Call Later
Call Later
No
No
Call Later
Call Later
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
Call Later
Call Later
Call Later
No
No
No
No
No
Call Later
No
Call Later
No
Yes
No
Yes
No
No
No
No
No
No
No
Call Later
No
No
No
No
No
No
No
No
Call Later
No
No
No
Call Later
Call Later
Call Later
No
No
Call Later
Call Later
No
Call Later
Call Later
Call Later
Call Later
No
Call Later
No
No
Call Later
Call Later
No
No
Call Later
No
No
Call Later
Call Later
No
Call Later
Yes
Call Later
No
Call Later
No
No
Call Later
No
No
Call Later
No
No
Call Later
No
Call Later
Call Later
Call Later
No
Call Later
Call Later
No
No
No
No
No
No
No
No
No
No
No
Call Later
No
No
No
Yes
No

No
No
No
Call Later
No
No
No
Call Later
No
No
Call Later
No
No
No
No
No
No
No
No
No
No
No
No
Yes
No
Call Later
No
Yes
No
No
No
No
No
No
Call Later
No
No
No
No
Call Later
No
No
No
No
No
Call Later
No
No
No
No
No
No
No
No
No
No
No
Call Later
No
No

No






No
Call Later
No
No
No
No
No
No
Call Later
No
No
No
Call Later
Call Later
No
No
Call Later
No
Call Later
No
No
No
No
No
No
No
Call Later
No
No
No
No
No
No
No
No
No
No
Yes
No
No
No
Call Later
No
No
No
No
No
No
No
Call Later
No
No
Yes
No
Yes
No
No
No
No
No
No
No
Call Later
No
No
No
Call Later
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
Call Later
No
No
No
No
No
No
Yes
No
No
No
No
Call Later
No
No
No
No
Call Later
No
No
No
No
No
Call Later
No
Call Later
No
No
No
No
No
No
No
No
No
No
Call Later
Yes
Yes
Yes
Call Later
No
Call Later
No
No
Call Later
No
No
No
No
No
No
Yes
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
Call Later
No
Call Later
No
No
No
Call Later
No
No
No
No
No
No
No
No
Call Later
No
No
No
Call Later
No
Call Later
Call Later
No
No
No
No
No
No
Yes
No
Yes
Yes
No
No
No
No
No
No
No
No
Call Later
No
No
No
No
No
No
No
No
Yes
No
No
No
No
Call Later
No
No
No
No
No
Call Later
No
No
No
Call Later
No
Call Later
No

No
Call Later
No
No
No
No
No
No
Yes
No
No
No
Call Later
No
Yes
No
Call Later
No
No
No
No
No
No
No
No
No
No
No
No
Yes
No
No
No
No
Yes
No
No
No
Call Later
Call Later
No
No
No

Call Later
No
No
No
No
No
No
Call Later
No
No
Call Later
No
No
No
No
Call Later
No
No
No
No
Call Later
No
Call Later
Yes
No
No
No
